Estate Name,Street Name,House Type,HLC
Aro Ancient Town,Alhaji Gadu,Face-To-Face,20.0
Aro Ancient Town,Alhaji Gado,Face-To-Face,30.0
Aro Town,Beach Road,MakeShift,4.0
Aro Town,Waterside,MakeShift,0.5
Aro Town,Beach Road,MakeShift,2.0
Aro Town,Beach Road,MakeShift,0.25
Aro Town,Close to Aro gate,MakeShift,0.25
Aro Town,Waterside,MakeShift,5.0
Aro Ancient Town,Aro,Face-To-Face,10.0
Aro Town,Aro,MakeShift,4.0
Aro Town,Aro,MakeShift,1.0
Aro Town,Aro,MakeShift,3.0
Aro Town,Aro,MakeShift,3.0
Aro Town,Aro,MakeShift,0.67
Aro Town,Aro,MakeShift,1.0
Aro Town,Aro,MakeShift,1.0
Atlantic View Estate,Marantha (Razaq Balogun Area),MakeShift,5.0
Atlantic View Estate,Bode Ajakaye,Uncompleted,1.0
Atlantic View Estate,Bode Ajakaye,Uncompleted,4.0
Aro Town,Aro,MakeShift,3.0
Aro Town,Aro,MakeShift,2.0
Aro Town,Aro,MakeShift,2.0
Aro Town,Aro,MakeShift,4.0
Aro,Aro mid shift,MakeShift,3.0
Aro town,Aro village,Uncompleted,1.0
S. P. G,Amadasu Street,Flat/Bungalow/Duplex,5.0
Aro Estate,Aro,MakeShift,3.0
Aro Estate,Aro,MakeShift,4.0
Aro,Aro Babillon Hotel,MakeShift,27.0
Aro Estate,Baale Street Aro Town,MakeShift,4.0
Aro estate,Aro,MakeShift,28.0
Aro Estate,Aro,MakeShift,20.0
Aro,Aro Compound,MakeShift,6.0
Aro Estate,Aro,MakeShift,0.33
Aro Estate,Aro,MakeShift,10.0
Aro Estate,Aro,MakeShift,0.08
Alpha Beach Road,Owode Dorcass,MakeShift,2.0
Alpha Beach Kpako estate,Baale Street,MakeShift,6.0
Kpako Estate,Baale Street,MakeShift,1.0
Alpha Beach,Owode Dorcas,MakeShift,1.0
Alpha Beach,Owode Dorcas,MakeShift,1.0
Alpha Beach,Owode Dorcas,MakeShift,3.0
Alpha Beach,Owode Dorcas,MakeShift,5.0
Alpha Beach,"Dorcas Street, Owode",MakeShift,5.0
Aro Town,Aro Street,MakeShift,1.0
Aro Town,Aro Street,MakeShift,8.0
Mayegun,Mayegun Baale,Face-To-Face,14.0
Jakende,Gbara Street,MakeShift,1.0
S.P.G,"by Nepa, Off Ologolo Filling Station Street",Face-To-Face,1.0
